"date","close","volume","open","high","low"
"2018/10/17","364.7000","32564190.0000","378.3300","380.0000","356.5000"
"2018/10/16","346.4000","19670560.0000","337.2400","347.9500","330.5550"
"2018/10/15","333.1300","11177510.0000","337.6300","339.2057","326.9300"
"2018/10/12","339.5600","14806860.0000","339.5700","341.3000","328.9000"
"2018/10/11","321.1000","16020690.0000","324.9400","334.2000","315.8100"
"2018/10/10","325.8900","17063660.0000","353.5200","355.1500","325.3900"
"2018/10/09","355.7100","8730976.0000","348.4800","358.7200","347.0900"
"2018/10/08","349.1000","12367510.0000","345.1800","352.9450","338.1100"
"2018/10/05","351.3500","13512410.0000","359.7700","363.5000","343.0000"
"2018/10/04","363.6500","9052362.0000","375.8800","375.9200","360.4000"
"2018/10/03","377.0500","5791686.0000","378.5300","380.9300","374.8810"
"2018/10/02","377.1400","8620881.0000","384.3800","386.7999","373.8300"
"2018/10/01","381.4300","8339887.0000","375.8500","386.1100","375.5900"
"2018/09/28","374.1300","7104066.0000","379.2400","380.8000","373.7300"
"2018/09/27","380.7100","7295123.0000","379.8700","383.2000","376.0000"
"2018/09/26","377.8800","13540220.0000","373.5900","382.0000","370.8800"
"2018/09/25","369.4300","6775710.0000","370.2300","371.3400","364.4920"
"2018/09/24","369.6100","9284561.0000","359.0000","373.6400","354.3300"
"2018/09/21","361.1900","11894650.0000","366.5900","372.2200","360.7400"
"2018/09/20","365.3600","6756310.0000","370.2600","370.2600","363.1700"
"2018/09/19","366.9600","11842150.0000","373.9500","377.6100","359.1700"
"2018/09/18","367.6500","10387420.0000","353.6700","368.1500","351.5600"
"2018/09/17","350.3500","7017306.0000","364.2200","367.3300","349.5700"
"2018/09/14","364.5600","4735893.0000","368.5500","371.0900","363.4600"
"2018/09/13","368.1500","8349938.0000","371.9100","374.0900","366.8400"
"2018/09/12","369.9500","10360140.0000","359.0800","370.4300","356.2400"
"2018/09/11","355.9300","6190391.0000","344.6700","356.1500","343.9001"
"2018/09/10","348.4100","5732200.0000","352.2700","352.5000","343.0800"
"2018/09/07","348.6800","9094700.0000","342.2000","355.7500","341.2500"
"2018/09/06","346.4600","13029930.0000","347.4400","356.0000","341.9900"
"2018/09/05","341.1800","13072940.0000","360.0000","363.3900","335.8300"
"2018/09/04","363.6000","7590605.0000","366.4700","368.8800","361.2600"
"2018/08/31","367.6800","7918045.0000","370.6600","376.0000","367.0766"
"2018/08/30","370.9800","10969500.0000","365.0000","376.8085","363.5400"
"2018/08/29","368.0400","8103592.0000","367.2000","369.8600","362.9100"
"2018/08/28","368.4900","9190409.0000","367.2300","369.9900","360.3800"
"2018/08/27","364.5800","17371910.0000","367.1450","374.4900","360.0000"
"2018/08/24","358.8200","14705630.0000","346.0000","359.1500","344.5410"
"2018/08/23","339.1700","11312170.0000","348.1100","350.0800","337.6500"
"2018/08/22","344.4400","8912548.0000","338.4900","346.2100","337.4060"
"2018/08/21","338.0200","14501880.0000","331.0000","341.5000","329.7000"
"2018/08/20","327.7300","13564480.0000","314.6400","331.6000","310.9280"
"2018/08/17","316.7800","10370280.0000","319.0100","324.3650","312.9600"
"2018/08/16","322.4400","6674219.0000","329.9000","331.1700","321.2138"
"2018/08/15","326.4000","11746500.0000","334.0300","335.4962","321.0000"
"2018/08/14","337.4900","5791723.0000","342.0900","342.4100","336.2500"
"2018/08/13","341.3100","6884455.0000","339.8900","347.1900","339.0700"
"2018/08/10","345.8700","4327581.0000","346.9100","349.1000","344.4233"
"2018/08/09","349.3600","4680889.0000","347.9600","352.4390","345.8157"
"2018/08/08","347.6100","5392715.0000","352.2100","352.2900","346.6100"
"2018/08/07","351.8300","7952555.0000","353.2300","357.3100","349.0100"
"2018/08/06","350.9200","8186587.0000","342.8650","351.9800","341.7400"
"2018/08/03","343.0900","8836308.0000","347.7500","347.8600","338.4768"
"2018/08/02","344.5000","7111670.0000","337.2300","345.0000","334.7100"
"2018/08/01","338.3800","7761986.0000","335.8700","344.4100","334.0200"
"2018/07/31","337.4500","14039440.0000","331.5100","342.5000","328.0000"
"2018/07/30","334.9600","18227810.0000","351.9300","352.0300","334.0201"
"2018/07/27","355.2100","8938523.0000","366.8500","367.0000","351.6500"
"2018/07/26","363.0900","6961506.0000","358.1900","365.5400","356.6250"
"2018/07/25","362.8700","8382441.0000","357.5700","363.2800","355.6500"
"2018/07/24","357.3200","12829360.0000","366.9400","367.4000","354.5600"
"2018/07/23","362.6600","11463490.0000","359.1450","363.9000","353.6000"
"2018/07/20","361.0500","15089420.0000","364.9200","370.5000","360.1400"
"2018/07/19","364.2300","16829630.0000","371.0600","375.7490","363.0000"
"2018/07/18","375.1300","21706840.0000","381.2400","383.1300","372.3552"
"2018/07/17","379.4800","58303640.0000","346.9500","385.0000","344.0000"
"2018/07/16","400.4800","22225460.0000","398.9800","403.3550","391.7500"
"2018/07/13","395.8000","15695110.0000","409.1900","410.0000","395.0810"
"2018/07/12","413.5000","12703940.0000","415.1550","416.7900","407.8000"
"2018/07/11","418.6500","9635060.0000","411.3400","419.7700","410.6000"
"2018/07/10","415.6300","9205902.0000","417.2400","419.4400","413.0800"
"2018/07/09","418.9700","11091340.0000","415.9500","419.1200","411.1000"
"2018/07/06","408.2500","8568382.0000","397.4500","408.6495","395.5225"
"2018/07/05","398.3900","8418116.0000","393.8000","399.2400","390.8600"
"2018/07/03","390.5200","5280344.0000","399.4900","399.9800","389.5000"
"2018/07/02","398.1800","8125655.0000","385.4500","398.3800","380.0000"
"2018/06/29","391.4300","9228678.0000","399.1900","401.3299","390.5500"
"2018/06/28","395.4200","12202630.0000","395.0000","396.9000","387.1000"
"2018/06/27","390.3900","16495200.0000","407.5600","411.5865","390.0000"
"2018/06/26","399.3900","15165630.0000","393.2800","404.7800","389.0500"
"2018/06/25","384.4800","22458240.0000","404.6900","405.9900","378.7500"
"2018/06/22","411.0900","10410580.0000","419.9800","420.5000","409.6510"
"2018/06/21","415.4400","18048570.0000","421.3800","423.2056","406.3701"
"2018/06/20","416.7600","16453370.0000","415.1500","419.4675","409.6000"
"2018/06/19","404.9800","16673810.0000","389.5000","405.2900","388.5000"
"2018/06/18","390.4000","6800984.0000","387.7200","393.1600","386.5000"
"2018/06/15","391.9800","13569210.0000","390.7100","398.8600","387.5100"
"2018/06/14","392.8700","14549540.0000","384.2700","395.0300","383.2500"
"2018/06/13","379.9300","18186020.0000","367.5300","384.2537","364.1100"
"2018/06/12","363.8300","4220072.0000","363.6000","365.9800","362.0000"
"2018/06/11","361.4500","4415776.0000","361.8800","365.6700","360.9100"
